path,participant_id,sequence_id,sign
train_landmark_files/22343/1004302418.parquet,22343,1004302418,sad
train_landmark_files/30680/1005102931.parquet,30680,1005102931,thankyou
train_landmark_files/37055/1005734995.parquet,37055,1005734995,no
train_landmark_files/62590/1005973605.parquet,62590,1005973605,sad
train_landmark_files/22343/1006778422.parquet,22343,1006778422,happy
train_landmark_files/37055/1009073883.parquet,37055,1009073883,no
train_landmark_files/32319/1011764636.parquet,32319,1011764636,dad
train_landmark_files/37055/1011888729.parquet,37055,1011888729,happy
train_landmark_files/28656/1012007761.parquet,28656,1012007761,no
train_landmark_files/37779/1012413496.parquet,37779,1012413496,sad
train_landmark_files/26734/1012730846.parquet,26734,1012730846,please
train_landmark_files/32319/1012950600.parquet,32319,1012950600,sad
train_landmark_files/27610/1016834986.parquet,27610,1016834986,thankyou
train_landmark_files/49445/1019060027.parquet,49445,1019060027,later
train_landmark_files/34503/1019518672.parquet,34503,1019518672,mom
train_landmark_files/32319/1019705591.parquet,32319,1019705591,yes
train_landmark_files/53618/1021288255.parquet,53618,1021288255,please
train_landmark_files/62590/1023256181.parquet,62590,1023256181,please
train_landmark_files/25571/1023273722.parquet,25571,1023273722,yes
train_landmark_files/53618/1024964075.parquet,53618,1024964075,yes
train_landmark_files/36257/1025094898.parquet,36257,1025094898,yes
train_landmark_files/18796/1025116466.parquet,18796,1025116466,dad
train_landmark_files/62590/1026529150.parquet,62590,1026529150,yes
train_landmark_files/2044/1027900681.parquet,2044,1027900681,sad
train_landmark_files/34503/1028641963.parquet,34503,1028641963,dad
train_landmark_files/32319/1029081818.parquet,32319,1029081818,no
train_landmark_files/16069/1029270291.parquet,16069,1029270291,please
train_landmark_files/29302/1029642842.parquet,29302,1029642842,no
train_landmark_files/26734/1030798091.parquet,26734,1030798091,no
train_landmark_files/34503/1031058936.parquet,34503,1031058936,please
train_landmark_files/62590/1031693648.parquet,62590,1031693648,hello
train_landmark_files/4718/1031918144.parquet,4718,1031918144,please
train_landmark_files/32319/1032050962.parquet,32319,1032050962,mom
train_landmark_files/16069/1032250678.parquet,16069,1032250678,no
train_landmark_files/36257/1033007049.parquet,36257,1033007049,mom
train_landmark_files/34503/1033041369.parquet,34503,1033041369,dad
train_landmark_files/37779/1033181756.parquet,37779,1033181756,hello
train_landmark_files/49445/1034040827.parquet,49445,1034040827,yes
train_landmark_files/18796/1034110468.parquet,18796,1034110468,happy
train_landmark_files/16069/103441466.parquet,16069,103441466,sad
train_landmark_files/37055/1034699789.parquet,37055,1034699789,later
train_landmark_files/32319/1035840159.parquet,32319,1035840159,happy
train_landmark_files/29302/1038478644.parquet,29302,1038478644,please
train_landmark_files/53618/1039826813.parquet,53618,1039826813,dad
train_landmark_files/25571/1040080251.parquet,25571,1040080251,hello
train_landmark_files/22343/1041640986.parquet,22343,1041640986,mom
train_landmark_files/37779/1041802107.parquet,37779,1041802107,please
train_landmark_files/37055/1041824547.parquet,37055,1041824547,please
train_landmark_files/28656/1042331405.parquet,28656,1042331405,dad
train_landmark_files/53618/1044118052.parquet,53618,1044118052,happy
train_landmark_files/53618/1045255796.parquet,53618,1045255796,yes
train_landmark_files/37055/1047094994.parquet,37055,1047094994,later
train_landmark_files/29302/1048033497.parquet,29302,1048033497,sad
train_landmark_files/62590/104949768.parquet,62590,104949768,please
train_landmark_files/32319/1049501001.parquet,32319,1049501001,yes
train_landmark_files/37055/1049534022.parquet,37055,1049534022,thankyou
train_landmark_files/22343/1050223528.parquet,22343,1050223528,yes
train_landmark_files/28656/1050526943.parquet,28656,1050526943,no
train_landmark_files/25571/1050684799.parquet,25571,1050684799,hello
train_landmark_files/36257/1050993014.parquet,36257,1050993014,please
train_landmark_files/27610/1052839828.parquet,27610,1052839828,mom
train_landmark_files/29302/1054418038.parquet,29302,1054418038,happy
train_landmark_files/49445/1054875916.parquet,49445,1054875916,sad
train_landmark_files/32319/105544881.parquet,32319,105544881,happy
train_landmark_files/28656/10590618.parquet,28656,10590618,mom
train_landmark_files/29302/1060843584.parquet,29302,1060843584,hello
train_landmark_files/2044/1062075977.parquet,2044,1062075977,happy
train_landmark_files/30680/106279834.parquet,30680,106279834,hello
train_landmark_files/22343/1064907243.parquet,22343,1064907243,sad
train_landmark_files/62590/1065848323.parquet,62590,1065848323,dad
train_landmark_files/49445/1065890777.parquet,49445,1065890777,yes
train_landmark_files/26734/106684670.parquet,26734,106684670,dad
train_landmark_files/32319/106714329.parquet,32319,106714329,hello
train_landmark_files/37779/1067631606.parquet,37779,1067631606,thankyou
train_landmark_files/22343/1068130811.parquet,22343,1068130811,no
train_landmark_files/30680/1070339723.parquet,30680,1070339723,later
train_landmark_files/2044/1070643840.parquet,2044,1070643840,mom
train_landmark_files/53618/1070658741.parquet,53618,1070658741,no
train_landmark_files/37779/107094913.parquet,37779,107094913,thankyou
train_landmark_files/26734/1071364049.parquet,26734,1071364049,yes
train_landmark_files/26734/1072076887.parquet,26734,1072076887,hello
train_landmark_files/55372/1073002395.parquet,55372,1073002395,please
train_landmark_files/2044/1073210547.parquet,2044,1073210547,mom
train_landmark_files/37779/1075688489.parquet,37779,1075688489,happy
train_landmark_files/2044/1077201783.parquet,2044,1077201783,happy
train_landmark_files/29302/1077574866.parquet,29302,1077574866,hello
train_landmark_files/29302/1082473778.parquet,29302,1082473778,later
train_landmark_files/34503/1083455821.parquet,34503,1083455821,yes
train_landmark_files/29302/108349232.parquet,29302,108349232,happy
train_landmark_files/29302/1086016810.parquet,29302,1086016810,dad
train_landmark_files/32319/1086215970.parquet,32319,1086215970,happy
train_landmark_files/25571/1086498111.parquet,25571,1086498111,thankyou
train_landmark_files/32319/1087463416.parquet,32319,1087463416,mom
train_landmark_files/18796/1089462639.parquet,18796,1089462639,later
train_landmark_files/16069/109145757.parquet,16069,109145757,yes
train_landmark_files/37055/1091759576.parquet,37055,1091759576,please
train_landmark_files/26734/109190877.parquet,26734,109190877,thankyou
train_landmark_files/25571/1093672187.parquet,25571,1093672187,no
train_landmark_files/37779/1094543884.parquet,37779,1094543884,sad
train_landmark_files/55372/1094930434.parquet,55372,1094930434,mom
train_landmark_files/22343/1096235365.parquet,22343,1096235365,please
train_landmark_files/62590/1097997004.parquet,62590,1097997004,yes
train_landmark_files/36257/1098234177.parquet,36257,1098234177,happy
train_landmark_files/29302/1098760881.parquet,29302,1098760881,thankyou
train_landmark_files/26734/1099336112.parquet,26734,1099336112,dad
train_landmark_files/37055/1099370557.parquet,37055,1099370557,yes
train_landmark_files/32319/1099558841.parquet,32319,1099558841,mom
train_landmark_files/18796/110017707.parquet,18796,110017707,please
train_landmark_files/28656/1100487971.parquet,28656,1100487971,yes
train_landmark_files/55372/1102009220.parquet,55372,1102009220,dad
train_landmark_files/2044/1102084872.parquet,2044,1102084872,dad
train_landmark_files/62590/1102733603.parquet,62590,1102733603,hello
train_landmark_files/36257/1104203359.parquet,36257,1104203359,no
train_landmark_files/55372/1105222567.parquet,55372,1105222567,no
train_landmark_files/18796/1106875566.parquet,18796,1106875566,happy
train_landmark_files/61333/1107025850.parquet,61333,1107025850,please
train_landmark_files/22343/1107999650.parquet,22343,1107999650,no
train_landmark_files/61333/1112604964.parquet,61333,1112604964,mom
train_landmark_files/36257/111269148.parquet,36257,111269148,hello
train_landmark_files/37055/11141994.parquet,37055,11141994,happy
train_landmark_files/4718/1114344268.parquet,4718,1114344268,please
train_landmark_files/26734/1114630639.parquet,26734,1114630639,please
train_landmark_files/16069/1116075360.parquet,16069,1116075360,happy
train_landmark_files/29302/1117086675.parquet,29302,1117086675,please
train_landmark_files/29302/1118278339.parquet,29302,1118278339,happy
train_landmark_files/55372/1118787149.parquet,55372,1118787149,later
train_landmark_files/53618/1118884388.parquet,53618,1118884388,later
train_landmark_files/37779/1119382731.parquet,37779,1119382731,dad
train_landmark_files/2044/1120272621.parquet,2044,1120272621,dad
train_landmark_files/16069/1120934681.parquet,16069,1120934681,no
train_landmark_files/25571/1121138201.parquet,25571,1121138201,no
train_landmark_files/2044/1123355924.parquet,2044,1123355924,later
train_landmark_files/25571/1123388579.parquet,25571,1123388579,no
train_landmark_files/18796/1123976115.parquet,18796,1123976115,later
train_landmark_files/2044/1124156916.parquet,2044,1124156916,mom
train_landmark_files/16069/1124345677.parquet,16069,1124345677,mom
train_landmark_files/37055/1125143484.parquet,37055,1125143484,yes
train_landmark_files/16069/1125567991.parquet,16069,1125567991,thankyou
train_landmark_files/18796/112791662.parquet,18796,112791662,later
train_landmark_files/34503/1128528720.parquet,34503,1128528720,later
train_landmark_files/37055/1129852197.parquet,37055,1129852197,dad
train_landmark_files/55372/1131246500.parquet,55372,1131246500,sad
train_landmark_files/37779/113279499.parquet,37779,113279499,hello
train_landmark_files/32319/1133307061.parquet,32319,1133307061,later
train_landmark_files/49445/1134642068.parquet,49445,1134642068,dad
train_landmark_files/30680/1134953644.parquet,30680,1134953644,sad
train_landmark_files/26734/1135969344.parquet,26734,1135969344,no
train_landmark_files/26734/1136667479.parquet,26734,1136667479,later
train_landmark_files/53618/1137252930.parquet,53618,1137252930,sad
train_landmark_files/28656/1138503174.parquet,28656,1138503174,please
train_landmark_files/62590/1139064509.parquet,62590,1139064509,sad
train_landmark_files/32319/1141893739.parquet,32319,1141893739,later
train_landmark_files/34503/1142500280.parquet,34503,1142500280,mom
train_landmark_files/36257/1143268892.parquet,36257,1143268892,sad
train_landmark_files/29302/1143676151.parquet,29302,1143676151,hello
train_landmark_files/28656/1145340279.parquet,28656,1145340279,yes
train_landmark_files/16069/1145389557.parquet,16069,1145389557,later
train_landmark_files/37779/1147773017.parquet,37779,1147773017,mom
train_landmark_files/18796/1148095665.parquet,18796,1148095665,thankyou
train_landmark_files/61333/1148301715.parquet,61333,1148301715,yes
train_landmark_files/2044/1148566480.parquet,2044,1148566480,hello
train_landmark_files/22343/1151249432.parquet,22343,1151249432,mom
train_landmark_files/16069/1151925788.parquet,16069,1151925788,happy
train_landmark_files/22343/1153000345.parquet,22343,1153000345,later
